N	2gram	Propp_Morf	OGranits
352	о возможности	1	1
353	состоит в	3	1
354	если только	1	1
355	к морфологии	1	1
356	и несколько	1	1
357	не знает	2	1
358	или в	6	1
359	от одного	1	1
360	в основе	2	1
361	точного и	1	1
362	собственном смысле	3	1
363	на то	3	1
364	то не	1	1
365	но там	1	1
366	и там	1	1
367	их по	4	1
368	же самое	1	1
369	как их	2	1
370	из нее	1	1
371	равно как	1	1
372	следовательно в	1	1
373	вопрос в	2	1
374	их в	2	1
375	и вне	3	1
376	хотя они	2	1
377	функций и	1	1
378	одним из	2	1
379	из членов	3	1
380	не совсем	1	1
381	отношение к	1	1
382	весь этот	1	1
383	решить задачу	1	1
384	сказать что	4	1
385	к следующему	1	1
386	и никогда	1	1
387	ему в	1	1
388	или менее	2	1
389	все функции	3	1
390	другим но	1	1
391	превращаются в	1	1
392	или на	3	1
393	где нет	1	1
394	этим же	2	1
395	же самый	1	1
396	что изучение	3	1
397	такой же	1	1
398	с большим	1	1
399	систему и	1	1
400	или нет?	1	1
401	наконец даже	1	1
402	одной из	2	1
403	например в	2	1
404	в образе	6	1
405	быть объяснено	1	1
406	путь от	1	1
407	о помощи	3	1
408	материала к	2	1
409	изучены и	1	1
410	целая система	1	1
411	к этому	4	1
412	в одной	2	1
413	за которым	2	1
414	и как	6	1
415	стороны оно	1	1
416	лишь с	2	1
417	вплоть до	1	1
418	что он	5	1
419	что существуют	1	1
420	в предисловии	1	1
421	в собственном	3	1
422	случаях когда	2	1
423	что она	2	1
424	форм их	1	1
425	не существует	3	1
426	далеко не	5	1
427	при разных	1	1
428	бы быть	1	1
429	в мире	1	1
430	который в	2	1
431	одна из	5	1
432	на эту	1	1
433	ли кто-нибудь	1	1
434	в которых	2	1
435	но не	8	1
436	так в	1	1
437	постановка вопроса	1	1
438	в ряду	1	1
439	но если	10	1
440	одно из	1	1
441	с его	3	1
442	при изучении	1	1
443	что до	2	1
444	на одном	1	1
445	себя и	2	1
446	этой школы	4	1
447	оно может	4	1
448	тех или	1	1
449	его роль	1	1
450	быть и	2	1
451	форма как	1	1
452	в то	4	1
453	а вовсе	2	1
454	связаны между	1	1
455	один и	1	1
456	тем мы	1	1
457	к двум	1	1
458	не отвечает	1	1
459	с первых	1	1
460	начинается уже	1	1
461	этого материала	1	1
462	о которых	1	1
463	затем если	1	1
464	может и	1	1
465	важное значение	1	1
466	ведь и	1	1
467	когда в	2	1
468	придется остановиться	1	1
469	она есть	1	1
470	с ее	1	1
471	в нашу	1	1
472	и это	1	1
473	hoc и	1	1
474	из одного	1	1
475	материала или	1	1
476	в виде	3	1
477	только о	1	1
478	от него	2	1
479	его определение	1	1
480	связанная с	1	1
481	новые функции	1	1
482	здесь нет	1	1
483	на словах	1	1
484	и становится	1	1
485	словами и	1	1
486	и другое	1	1
487	к нему	3	1
488	до его	1	1
489	не можем	1	1
490	еще одно	1	1
491	не смог	1	1
492	проявляются в	1	1
493	ряд вопросов	1	1
494	как все	1	1
495	это обычно	1	1
496	то можно	5	1
497	не входит	2	1
498	слушателя и	1	1
499	его можно	1	1
500	что такой	1	1
501	на все	1	1
502	еще не	4	1
503	нашу задачу	2	1
504	тех случаях	2	1
